Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Leclerc,2.22,13,25
2,Red Bull,Verstappen,2.25,14,18
3,Ferrari,Sainz,2.31,31,15
4,Ferrari,Sainz,2.36,13,
5,Mercedes,Hamilton,2.40,12,12
6,Red Bull,Perez,2.43,17,10
7,Aston Martin,Stroll,2.48,30,8
8,Red Bull,Verstappen,2.50,36,
9,Mercedes,Hamilton,2.53,30,
10,Mercedes,Russell,2.55,31,6
11,AlphaTauri,Tsunoda,2.62,26,4
12,Aston Martin,Alonso,2.64,34,2
13,Williams,Albon,2.64,40,1
14,Red Bull,Perez,2.74,34,
15,Alpine,Ocon,2.76,12,
16,Williams,Albon,2.78,26,
17,Alpine,Gasly,2.80,40,
18,Alfa Romeo,Bottas,2.81,11,
19,Alpine,Gasly,2.88,25,
20,Ferrari,Leclerc,2.96,33,
21,AlphaTauri,de Vries,2.96,27,
22,AlphaTauri,de Vries,2.98,11,
23,Haas,Magnussen,3.07,40,
24,Williams,Albon,3.10,11,
25,Haas,Magnussen,3.15,15,
26,Aston Martin,Stroll,3.18,15,
27,Haas,Magnussen,3.20,29,
28,Alfa Romeo,Bottas,3.21,29,
29,Williams,Sargeant,3.21,40,
30,Haas,Hulkenberg,3.36,40,
31,AlphaTauri,Tsunoda,3.46,10,
32,Alfa Romeo,Zhou,3.50,32,
33,Aston Martin,Alonso,3.50,14,
34,Williams,Sargeant,3.57,30,
35,Haas,Hulkenberg,3.61,11,
36,Williams,Sargeant,3.65,12,
37,Alpine,Gasly,3.79,9,
38,Alfa Romeo,Zhou,3.84,12,
39,AlphaTauri,Tsunoda,4.22,40,
40,Mercedes,Russell,5.04,13,
41,Alfa Romeo,Zhou,8.38,54,
42,McLaren,Norris,8.78,47,
43,McLaren,Norris,9.25,54,
44,McLaren,Norris,10.60,10,
45,Alpine,Ocon,10.95,0,
46,McLaren,Norris,11.10,37,
47,McLaren,Norris,11.46,27,
48,McLaren,Norris,11.77,17,
49,Haas,Hulkenberg,15.39,26,
50,Alpine,Ocon,19.59,15,
51,Alpine,Ocon,22.04,32,
52,McLaren,Piastri,42.57,0,
