driverId,constructorId,team,name,number,code,surname
1,131,Mercedes,Mercedes,44,HAM,Hamilton
847,131,Mercedes,Mercedes,63,RUS,Russell
4,117,Aston Martin,Aston Martin,14,ALO,Alonso
840,117,Aston Martin,Aston Martin,18,STR,Stroll
807,210,Haas,Haas F1 Team,27,HUL,Hulkenberg
825,210,Haas,Haas F1 Team,20,MAG,Magnussen
815,9,Red Bull,Red Bull,11,PER,Perez
830,9,Red Bull,Red Bull,33,VER,Verstappen
817,213,AlphaTauri,AlphaTauri,3,RIC,Ricciardo
852,213,AlphaTauri,AlphaTauri,22,TSU,Tsunoda
856,213,AlphaTauri,AlphaTauri,21,DEV,de Vries
822,51,Alfa Romeo,Alfa Romeo,77,BOT,Bottas
855,51,Alfa Romeo,Alfa Romeo,24,ZHO,Zhou
832,6,Ferrari,Ferrari,55,SAI,Sainz
844,6,Ferrari,Ferrari,16,LEC,Leclerc
839,214,Alpine,Alpine F1 Team,31,OCO,Ocon
842,214,Alpine,Alpine F1 Team,10,GAS,Gasly
846,1,McLaren,McLaren,4,NOR,Norris
857,1,McLaren,McLaren,81,PIA,Piastri
848,3,Williams,Williams,23,ALB,Albon
858,3,Williams,Williams,2,SAR,Sargeant
